H-Matrix
[[1 0 0 1 0 0 1 0]
 [0 1 0 0 1 0 0 1]
 [1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1]]
-------------------------------------------------------------------------------------------------------
|      |            |                                                    |                            |
|Sr No.| Corr. Code |         Rx. Code                                   |           Number           |
|      |            |                                                    |                            |
-------------------------------------------------------------------------------------------------------
|  1.  |  00000000  |  1.00 0.34 0.95 0.94 1.19 1.55 0.69 1.45           |  111111111111111111111111  |
|  2.  |  10000010  |  -0.15 0.73 1.43 0.98 1.06 0.81 -0.15 -0.36        |  111111111111111111111111  |
|  3.  |  00000000  |  2.21 0.90 0.21 0.76 2.05 0.72 -0.19 0.82          |  111111111111111111111111  |
|  4.  |  00011011  |  1.93 0.78 0.77 0.36 1.12 0.89 -1.89 -0.87         |  000010000000000000000000  |
|  5.  |  00000000  |  1.00 0.83 0.82 0.57 0.20 -0.73 0.96 0.57          |  111000111000101000000000  |
|  6.  |  00000101  |  0.58 1.07 1.18 0.76 0.60 -0.89 0.29 -0.89         |  111111111111111111111111  |
|  7.  |  00110110  |  1.23 0.50 0.55 1.13 0.69 -1.71 -1.11 1.41         |  000000000111000011000011  |
|  8.  |  00000111  |  0.95 1.97 1.81 1.38 0.93 -0.86 -1.50 -0.26        |  111111111111111111111111  |
|  9.  |  00000000  |  0.76 1.43 0.59 0.58 -1.83 1.33 1.09 0.56          |  000010000000000000000000  |
|  10. |  00000000  |  1.61 1.21 1.34 2.31 -0.65 2.41 1.29 -0.44         |  111111111111111111111111  |
|  11. |  00011011  |  0.72 1.32 0.94 0.48 -1.24 2.04 -0.15 0.56         |  111000111111101100010000  |
|  12. |  00011011  |  0.75 0.80 0.62 0.42 -1.65 1.06 -1.30 -0.88        |  111111111111111111111111  |
|  13. |  00000000  |  1.78 0.90 0.84 1.18 -0.27 -0.53 1.20 0.97         |  111111111111111111111111  |
|  14. |  00000101  |  1.13 1.12 1.56 0.65 0.47 -0.86 1.29 -0.39         |  111111111111111111111111  |
|  15. |  00011011  |  1.97 0.95 0.86 0.91 -1.28 -0.72 -0.03 0.90        |  000000000000000011000111  |
|  16. |  00001111  |  0.18 0.62 0.90 1.52 -1.08 -0.12 -1.08 -1.24       |  111111111111111111111111  |
|  17. |  00000000  |  1.97 1.52 0.17 -0.64 1.79 1.27 0.38 0.53          |  000000000111000111111111  |
|  18. |  00000000  |  1.10 1.89 1.05 -0.71 0.82 1.47 1.10 -0.31         |  111111111000111111000011  |
|  19. |  00110110  |  1.11 1.04 1.18 -1.03 0.71 0.12 -0.97 0.50         |  110000110010000000000000  |
|  20. |  00011011  |  1.17 0.99 2.00 -1.70 1.42 0.81 -1.03 -1.17        |  001111000000000000111100  |
|  21. |  00000000  |  2.09 1.11 1.01 -0.98 1.68 -0.30 1.39 1.65         |  111111111000111000000000  |
|  22. |  00010101  |  1.60 0.99 1.10 -0.13 1.13 -0.38 0.63 -1.25        |  111111111111111111111111  |
|  23. |  00110110  |  0.31 1.20 0.25 -0.60 0.66 -1.33 -1.15 0.93        |  111111111111111111111111  |
|  24. |  00110110  |  0.74 0.39 0.86 -1.31 1.14 -0.62 -1.67 -0.16       |  111111110010000000111000  |
|  25. |  11011000  |  0.82 0.52 0.85 -1.06 -1.04 0.76 1.07 1.16         |  111000110010010011000111  |
|  26. |  10011001  |  0.92 1.16 0.77 -1.29 -0.20 1.52 1.05 -1.29        |  111111110010111111111011  |
|  27. |  00011011  |  0.95 1.62 0.63 -0.95 -1.22 1.05 -0.77 0.96        |  111111111111111111111111  |
|  28. |  00011011  |  0.44 1.67 0.70 -1.14 -0.02 0.28 -2.20 -0.54       |  111111111111111111111111  |
|  29. |  00011100  |  1.34 0.73 1.63 -0.56 -1.33 -1.30 1.73 1.31        |  111111111111111111111111  |
|  30. |  00011011  |  1.19 0.71 1.71 -1.22 -2.11 -1.36 0.81 -1.01       |  000000001000101000000000  |
|  31. |  01011010  |  1.32 -0.33 0.85 -0.33 -1.03 -1.28 -0.15 1.05      |  000000001000101000000000  |
|  32. |  00011011  |  0.39 0.14 0.94 -1.45 -1.46 -0.73 -1.04 -0.80      |  111000111111101100000000  |
|  33. |  00000000  |  0.74 0.44 -1.68 1.70 1.30 1.78 1.37 2.47          |  110010110010000000101000  |
|  34. |  00100001  |  1.65 1.03 -1.27 1.44 1.49 0.21 0.71 -0.96         |  111111111111111111111111  |
|  35. |  00110110  |  1.04 1.00 -1.97 0.44 1.16 0.90 -1.56 0.42         |  000000001000101000000000  |
|  36. |  00110110  |  0.81 2.30 -1.21 0.46 1.79 -0.31 -1.55 -0.94       |  111000111000101011111111  |
|  37. |  00101101  |  0.68 1.81 -0.61 1.63 0.53 -1.75 1.70 1.12         |  000111000000010011010011  |
|  38. |  00101101  |  2.03 0.66 -1.04 0.05 0.68 -1.24 1.14 -1.39        |  111111111111111111111111  |
|  39. |  10101111  |  0.43 1.42 -1.09 1.12 0.82 -1.72 -0.02 0.17        |  000111000000000011111111  |
|  40. |  10101111  |  0.77 1.53 -0.73 1.66 1.04 -0.63 -1.57 -1.05       |  110010110010000100101000  |
|  41. |  00000000  |  0.79 0.64 -0.41 0.76 -0.48 0.93 1.04 1.70         |  000010000000000000101100  |
|  42. |  00101001  |  0.80 0.82 -1.03 0.36 -0.99 1.54 0.12 -1.55        |  111111111111111111111111  |
|  43. |  00011011  |  1.70 1.29 1.01 0.62 -0.63 1.49 -1.37 1.01         |  111000110000111000101000  |
|  44. |  00101101  |  0.73 1.24 -0.46 1.17 -1.34 0.92 -0.40 -0.85       |  000000001101101100000000  |
|  45. |  01101100  |  1.68 1.11 -0.90 0.54 -1.40 -0.95 1.09 1.82        |  111000111111101111111111  |
|  46. |  00101101  |  0.96 1.19 -1.17 1.43 -0.55 -0.98 0.59 -0.95       |  111111111111111111111111  |
|  47. |  00110110  |  0.86 1.21 -0.50 0.30 -0.03 -1.25 -1.16 0.19       |  111111111000111111010011  |
|  48. |  10101111  |  0.52 1.35 -1.73 1.76 -1.63 -1.30 -0.92 -0.90      |  111111111111111111111111  |
|  49. |  00110110  |  1.10 0.90 -0.88 -1.24 1.61 0.40 0.26 1.26         |  111111111111111111111111  |
|  50. |  10011001  |  0.81 0.97 0.43 -1.50 0.98 1.02 1.12 -1.73         |  110010110010000011101011  |
|  51. |  00110110  |  0.99 1.06 -0.61 -1.79 1.25 1.06 -1.14 0.11        |  111000111111101100000000  |
|  52. |  00110011  |  1.99 0.23 -1.04 -1.28 1.60 1.02 -1.17 -0.67       |  111111111111111111111111  |
|  53. |  00110110  |  1.48 1.38 -2.16 -0.55 0.89 -1.69 0.27 1.22        |  111111111111111111111111  |
|  54. |  00110110  |  0.88 0.77 -0.66 -1.21 2.20 -0.77 0.31 -0.64       |  111111111111111111111111  |
|  55. |  00110110  |  0.62 1.24 -1.35 -0.87 0.56 -1.03 -0.66 1.45       |  111111111111111111111111  |
|  56. |  00110110  |  0.49 1.67 -0.68 -1.33 0.71 -1.58 0.06 -0.78       |  111111110010010011111111  |
|  57. |  00111000  |  1.00 1.12 -0.95 -1.46 -0.63 1.62 1.34 1.50        |  111111111111111111111111  |
|  58. |  00111001  |  0.82 0.87 -0.54 -1.44 -1.52 0.97 0.90 -0.13       |  111111111111111111111111  |
|  59. |  10111000  |  -0.08 2.02 -1.43 -0.74 -1.00 0.87 0.01 0.68       |  111111111111111111111111  |
|  60. |  00011011  |  2.10 1.63 -1.42 -1.07 -0.92 1.36 -1.24 -1.21      |  110010110010000000101000  |
|  61. |  01101100  |  1.57 0.42 -1.41 -1.10 -1.10 -1.42 1.45 1.41       |  111000111000111011101011  |
|  62. |  10101111  |  1.09 0.76 -1.49 -1.46 -0.47 -1.35 1.10 -1.34      |  111111111000111000000000  |
|  63. |  01011010  |  0.62 0.06 -0.49 -1.02 -1.39 -0.49 -0.60 1.27      |  111000111111101100000000  |
|  64. |  00011011  |  1.13 0.39 -0.57 -0.05 -1.54 -0.30 -0.82 -0.02     |  111000111000101000000000  |
